candidate_id,name,education,experience_years,skills,certifications,projects_count,github_score,linkedin_activity,domain,resume_text
C001,Candidate_1,M.Tech,7,"Python, AWS, Azure",Azure,7,84,80,Analytics,"Python, AWS, Azure. 3 projects completed. Certified in AWS. Domain: Analytics."
C002,Candidate_2,MCA,0,"SQL, TensorFlow, Azure, Machine Learning, Deep Learning, AWS",AWS,4,66,55,Data Science,"SQL, TensorFlow, Azure, Machine Learning, Deep Learning, AWS. 8 projects completed. Certified in Azure. Domain: AI."
C003,Candidate_3,B.Tech,7,"AWS, Machine Learning, Azure, Power BI, TensorFlow, Deep Learning",Google,7,88,88,Data Science,"AWS, Machine Learning, Azure, Power BI, TensorFlow, Deep Learning. 6 projects completed. Certified in AWS. Domain: Cloud."
C004,Candidate_4,MCA,2,"SQL, Deep Learning, Azure, Machine Learning, Tableau",Azure,10,94,72,AI,"SQL, Deep Learning, Azure, Machine Learning, Tableau. 7 projects completed. Certified in AWS. Domain: AI."
C005,Candidate_5,B.Tech,8,"Machine Learning, Python, Deep Learning, AWS, TensorFlow",AWS,4,63,66,Analytics,"Machine Learning, Python, Deep Learning, AWS, TensorFlow. 7 projects completed. Certified in AWS. Domain: AI."
C006,Candidate_6,MCA,6,"AWS, Machine Learning, PyTorch",Google,6,74,83,Data Science,"AWS, Machine Learning, PyTorch. 2 projects completed. Certified in Google. Domain: AI."
C007,Candidate_7,M.Tech,7,"TensorFlow, Python, Tableau",Azure,3,74,53,Analytics,"TensorFlow, Python, Tableau. 10 projects completed. Certified in AWS. Domain: Cloud."
C008,Candidate_8,B.Tech,10,"Tableau, SQL, Deep Learning, AWS, TensorFlow",Google,3,64,54,Analytics,"Tableau, SQL, Deep Learning, AWS, TensorFlow. 2 projects completed. Certified in Azure. Domain: AI."
C009,Candidate_9,MCA,6,"TensorFlow, SQL, Python, Deep Learning, Tableau",Google,9,51,91,Cloud,"TensorFlow, SQL, Python, Deep Learning, Tableau. 2 projects completed. Certified in AWS. Domain: Cloud."
C010,Candidate_10,MCA,10,"SQL, AWS, Deep Learning, Tableau, NLP, Python",None,8,88,69,AI,"SQL, AWS, Deep Learning, Tableau, NLP, Python. 1 projects completed. Certified in Google. Domain: Cloud."
C011,Candidate_11,MCA,10,"Tableau, Python, NLP, Machine Learning, PyTorch",Azure,1,60,87,AI,"Tableau, Python, NLP, Machine Learning, PyTorch. 6 projects completed. Certified in Azure. Domain: Cloud."
C012,Candidate_12,M.Tech,2,"Azure, Power BI, SQL, AWS",Google,1,100,71,Cloud,"Azure, Power BI, SQL, AWS. 5 projects completed. Certified in Google. Domain: AI."
C013,Candidate_13,MCA,6,"AWS, Power BI, Python, Tableau, TensorFlow",Azure,1,86,80,AI,"AWS, Power BI, Python, Tableau, TensorFlow. 6 projects completed. Certified in Google. Domain: Data Science."
C014,Candidate_14,MCA,2,"PyTorch, SQL, AWS, TensorFlow, Machine Learning",AWS,9,68,98,Data Science,"PyTorch, SQL, AWS, TensorFlow, Machine Learning. 9 projects completed. Certified in Azure. Domain: AI."
C015,Candidate_15,B.Sc Data Science,1,"Power BI, SQL, Deep Learning",None,7,92,85,Data Science,"Power BI, SQL, Deep Learning. 4 projects completed. Certified in Google. Domain: Data Science."
C016,Candidate_16,B.Sc Data Science,5,"Power BI, Azure, PyTorch",AWS,2,96,92,AI,"Power BI, Azure, PyTorch. 7 projects completed. Certified in Google. Domain: Cloud."
C017,Candidate_17,B.Tech,0,"AWS, PyTorch, Python, Machine Learning, SQL, Tableau",None,5,84,98,AI,"AWS, PyTorch, Python, Machine Learning, SQL, Tableau. 3 projects completed. Certified in Azure. Domain: Data Science."
C018,Candidate_18,MCA,1,"Power BI, SQL, PyTorch",Google,9,56,56,AI,"Power BI, SQL, PyTorch. 5 projects completed. Certified in AWS. Domain: AI."
